SubjectID TrialNum Amplitude Width StartPos TargetPos Time Success CursorPos
1 2 150 10 (272,0) (372,111) 940 1 (378,123)
1 2 150 10 (272,0) (372,111) 1003 1 (378,120)
1 2 150 10 (272,0) (372,111) 1017 1 (378,119)
1 2 150 10 (272,0) (372,111) 1037 1 (378,117)
1 2 150 10 (272,0) (372,111) 1176 1 (378,115)
1 2 150 10 (272,0) (372,111) 1222 1 (378,115)
1 2 150 10 (272,0) (372,111) 1343 1 (378,115)
1 2 150 10 (272,0) (372,111) 1347 1 (378,115)
1 2 150 10 (272,0) (372,111) 1365 1 (378,115)
1 2 150 10 (272,0) (372,111) 1377 1 (378,115)

1 3 150 10 (640,272) (538,163) 7 1 (656,287)
1 3 150 10 (640,272) (538,163) 26 1 (656,287)
1 3 150 10 (640,272) (538,163) 35 1 (656,287)
1 3 150 10 (640,272) (538,163) 180 1 (656,287)
1 3 150 10 (640,272) (538,163) 222 1 (656,287)
1 3 150 10 (640,272) (538,163) 263 1 (633,268)
1 3 150 10 (640,272) (538,163) 271 1 (626,263)
1 3 150 10 (640,272) (538,163) 427 1 (574,207)
1 3 150 10 (640,272) (538,163) 645 1 (574,207)
1 3 150 10 (640,272) (538,163) 712 1 (574,207)
1 3 150 10 (640,272) (538,163) 836 1 (574,207)
1 3 150 10 (640,272) (538,163) 1034 1 (574,207)
1 3 150 10 (640,272) (538,163) 1067 1 (574,207)
1 3 150 10 (640,272) (538,163) 1132 1 (574,207)
1 3 150 10 (640,272) (538,163) 1224 1 (574,207)
1 3 150 10 (640,272) (538,163) 1270 1 (566,202)
1 3 150 10 (640,272) (538,163) 1460 1 (532,173)
1 3 150 10 (640,272) (538,163) 1506 1 (532,172)
1 3 150 10 (640,272) (538,163) 1634 1 (536,168)
1 3 150 10 (640,272) (538,163) 1676 1 (536,168)
1 3 150 10 (640,272) (538,163) 1723 1 (537,168)
1 3 150 10 (640,272) (538,163) 1739 1 (538,166)
1 3 150 10 (640,272) (538,163) 1759 1 (539,166)
1 3 150 10 (640,272) (538,163) 1787 1 (539,166)
1 3 150 10 (640,272) (538,163) 1929 1 (544,164)
1 3 150 10 (640,272) (538,163) 1960 1 (544,164)
1 3 150 10 (640,272) (538,163) 2078 1 (544,164)
1 3 150 10 (640,272) (538,163) 2088 1 (544,164)
1 3 150 10 (640,272) (538,163) 2113 1 (544,164)

SubjectID TrialNum Amplitude Width StartPos TargetPos Time Success CursorPos
1 1 150 10 (206,433) (335,358) 8 1 (232,444)
1 1 150 10 (206,433) (335,358) 24 1 (232,444)
1 1 150 10 (206,433) (335,358) 35 1 (232,444)
1 1 150 10 (206,433) (335,358) 55 1 (232,444)
1 1 150 10 (206,433) (335,358) 66 1 (232,444)
1 1 150 10 (206,433) (335,358) 255 1 (232,444)
1 1 150 10 (206,433) (335,358) 319 1 (232,444)
1 1 150 10 (206,433) (335,358) 363 1 (256,420)
1 1 150 10 (206,433) (335,358) 384 1 (275,403)
1 1 150 10 (206,433) (335,358) 395 1 (282,395)
1 1 150 10 (206,433) (335,358) 691 1 (334,369)
1 1 150 10 (206,433) (335,358) 739 1 (336,368)
1 1 150 10 (206,433) (335,358) 758 1 (338,366)
1 1 150 10 (206,433) (335,358) 769 1 (339,365)
1 1 150 10 (206,433) (335,358) 785 1 (340,365)
1 1 150 10 (206,433) (335,358) 805 1 (340,365)
1 1 150 10 (206,433) (335,358) 882 1 (340,364)
1 1 150 10 (206,433) (335,358) 975 1 (340,360)
1 1 150 10 (206,433) (335,358) 996 1 (340,360)
1 1 150 10 (206,433) (335,358) 1006 1 (340,360)
1 1 150 10 (206,433) (335,358) 1056 1 (340,360)
1 1 150 10 (206,433) (335,358) 1074 1 (340,360)
1 1 150 10 (206,433) (335,358) 1087 1 (340,360)
1 1 150 10 (206,433) (335,358) 1097 1 (340,360)
1 1 150 10 (206,433) (335,358) 1114 1 (340,360)

